#FILE:al.dsu
#FORMAT:NETZSCH5
#IDENTITY:1
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#MSUBTYPE:
#INSTRUMENT:NETZSCH STA 449 C
#PROJECT:
#DATE/TIME:2022-3-4 10:45:16
#CORR. FILE:AL2O3-dsc-N2-40-1300-20220228-2.bsu
#LABORATORY:无机
#OPERATOR:林坚钦
#REMARK:
#SAMPLE:al2o3
#SAMPLE MASS /mg:12.600
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0.000
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0.000
#REFERENCE CRUCIBLE MASS /mg:0.000
#CORR. CODE:020
#EXO:+1
#RANGE:40.0/10.0(K/min)/680.0
#SEGMENT:S1/1

##Temp./°C;Time/min;DSC/(mW/mg);Mass/%;Sensit./(μV/mW)
 39.96800;0.0000e+000;-2.4843e-003;100.00000;0.75874
 42.46800;    1.05956;-6.5075e-002;100.01525;0.75977
 44.96800;    1.40272;    -0.10202;100.02091;0.76080
 47.46800;    1.68501;    -0.12751;100.02588;0.76182
 49.96800;    1.93835;    -0.14610;100.03069;0.76283
 52.46800;    2.17535;    -0.15897;100.03096;0.76383
 54.96800;    2.40272;    -0.17147;100.03611;0.76482
 57.46800;    2.62342;    -0.17932;100.03717;0.76580
 59.96800;    2.83943;    -0.18620;100.04043;0.76677
 62.46800;    3.05273;    -0.19083;100.04368;0.76772
 64.96800;    3.26494;    -0.19469;100.05241;0.76867
 67.46800;    3.47631;    -0.19711;100.05647;0.76961
 69.96800;    3.68789;    -0.19891;100.05398;0.77053
 72.46800;    3.89944;    -0.19896;100.05476;0.77145
 74.96800;    4.11232;    -0.20063;100.05714;0.77236
 77.46800;    4.32591;    -0.20064;100.05715;0.77325
 79.96800;    4.54105;    -0.20115;100.05722;0.77414
 82.46800;    4.75702;    -0.19969;100.06134;0.77501
 84.96800;    4.97324;    -0.19995;100.06114;0.77587
 87.46800;    5.18998;    -0.19944;100.06374;0.77673
 89.96800;    5.40811;    -0.19925;100.06394;0.77757
 92.46800;    5.62692;    -0.19835;100.06587;0.77840
 94.96800;    5.84767;    -0.19742;100.06666;0.77922
